index,totalseconds,Gender,Age,Grade,Subject,PEdS1,PEdS2,PEdS3,PEdS4,PEmS1,PEmS2,PEmS3,PEmS4,PU1,PU2,PU3,CON1,CON2,CON3,SAT1,SAT2,SAT3,CI1,CI2,CI3
110,134,2,2,1,1,4,5,5,4,3,5,4,5,3,3,4,4,4,4,4,3,3,3,3,3
111,170,2,2,1,1,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,3,3,3,3
112,168,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5
113,171,2,2,1,1,4,5,5,4,5,5,5,5,4,4,4,4,4,4,4,4,5,4,4,4
114,185,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3
115,111,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
116,77,1,2,1,1,3,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5
117,59,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
118,80,1,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
119,134,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
120,93,2,2,1,1,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,3,4,3,3
121,96,2,2,1,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
122,90,2,2,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
123,96,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
124,92,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,3,4,3,4,3,4,3,3,4
125,145,2,1,1,1,4,4,5,4,3,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4
126,98,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
127,117,2,2,1,1,4,4,4,5,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3
128,86,1,2,1,1,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,5,4,5,5,5
129,65,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
130,38,1,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
131,27,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132,113,2,2,1,1,4,5,5,4,4,5,5,5,5,5,4,5,3,3,4,4,3,4,3,4
133,161,2,2,1,1,4,4,4,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4
134,32,2,1,1,1,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5
