index,totalseconds,Gender,Age,Grade,Subject,PEdS1,PEdS2,PEdS3,PEdS4,PEmS1,PEmS2,PEmS3,PEmS4,PU1,PU2,PU3,CON1,CON2,CON3,SAT1,SAT2,SAT3,CI1,CI2,CI3,Straight_Line_Flag,Very_Fast_Flag,High_Risk_Flag,Strict_Duplicate_Flag
68,103,2,2,1,1,5,5,5,5,4,4,5,4,4,3,4,3,5,4,3,3,4,4,4,4,False,False,False,False
69,119,2,2,1,1,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4,5,4,5,False,False,False,False
70,112,2,2,1,1,3,4,4,3,2,3,3,3,5,5,5,4,4,4,4,4,4,4,4,5,False,False,False,False
71,79,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,False
72,116,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
73,178,2,2,1,1,3,4,4,4,3,3,4,4,3,3,4,3,4,3,4,3,3,4,4,3,False,False,False,False
74,210,2,2,1,1,5,4,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,5,4,False,False,False,False
75,88,2,2,1,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,4,4,4,4,False,False,False,False
76,130,2,2,1,1,3,4,5,4,3,3,4,4,3,4,3,3,3,3,3,3,2,2,3,3,False,False,False,False
77,141,2,2,1,1,4,4,4,5,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,False,False,False,False
78,75,2,2,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,False,False,False,False
79,128,2,2,1,1,3,5,4,4,3,4,5,4,4,3,3,4,4,4,4,4,4,4,4,4,False,False,False,False
80,133,2,2,1,1,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,False,False,False,False
81,46,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,True,True,True
82,57,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
83,76,2,3,4,1,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,2,2,4,2,2,False,False,False,False
84,92,2,2,1,1,4,4,4,4,3,4,4,4,3,3,3,3,4,3,3,4,3,4,4,4,False,False,False,False
85,53,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,True
86,85,2,1,1,1,4,4,5,4,3,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,False,False,False,False
87,68,2,2,1,1,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,False,False,False,False
88,95,1,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,False
89,59,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,True
90,132,2,2,1,1,4,4,4,3,3,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,False,False,False,False
91,53,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,True
92,71,1,2,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,False,False,False,False
93,60,2,2,1,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,False,False,False,False
94,77,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,False,False,False,False
95,95,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
96,96,2,1,1,1,4,4,4,5,3,4,3,3,3,3,4,4,3,4,3,4,4,4,3,3,False,False,False,False
97,71,2,2,1,1,4,4,4,4,4,4,4,4,4,5,4,3,5,5,4,4,4,4,4,4,False,False,False,False
98,95,2,2,1,1,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,False,False,False,False
99,113,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
100,113,2,2,1,1,4,4,4,5,4,4,4,4,4,5,4,4,3,4,4,4,4,4,4,4,False,False,False,False
101,217,2,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,False,False,False,False
102,64,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,False,False,False,False
103,117,2,1,1,1,3,3,3,3,4,3,3,3,4,4,4,4,5,5,4,5,5,5,5,5,False,False,False,False
104,136,2,2,1,1,4,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,False,False,False,False
105,38,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,True,True,False
106,111,2,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,True,False,False,False
107,44,2,2,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,True,True,True,False
108,65,2,1,1,1,5,5,5,5,5,5,5,5,5,5,4,3,3,3,4,4,4,4,4,4,False,False,False,False
109,167,2,2,1,1,3,4,4,4,4,4,4,4,4,3,3,3,3,4,2,3,3,3,4,3,False,False,False,False
110,134,2,2,1,1,4,5,5,4,3,5,4,5,3,3,4,4,4,4,4,3,3,3,3,3,False,False,False,False
111,170,2,2,1,1,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,3,3,3,3,False,False,False,False
112,168,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,False,False,False,False
113,171,2,2,1,1,4,5,5,4,5,5,5,5,4,4,4,4,4,4,4,4,5,4,4,4,False,False,False,False
114,185,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,False,False,False,False
115,111,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,False
116,77,1,2,1,1,3,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,False,False,False,False
117,59,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
118,80,1,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,False
119,134,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
120,93,2,2,1,1,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,3,4,3,3,False,False,False,False
121,96,2,2,1,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,False,False,False,False
122,90,2,2,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,False,False,False,False
123,96,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,False
124,92,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,3,4,3,4,3,4,3,3,4,False,False,False,False
125,145,2,1,1,1,4,4,5,4,3,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,False,False,False,False
126,98,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,False
127,117,2,2,1,1,4,4,4,5,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,False,False,False,False
128,86,1,2,1,1,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,5,4,5,5,5,False,False,False,False
129,65,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,True
130,38,1,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,True,True,False
131,27,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,True,True,False
132,113,2,2,1,1,4,5,5,4,4,5,5,5,5,5,4,5,3,3,4,4,3,4,3,4,False,False,False,False
133,161,2,2,1,1,4,4,4,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,False,False,False,False
134,32,2,1,1,1,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,False,True,False,False
135,127,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,False,False,False,False
136,52,1,2,1,1,4,5,4,4,4,5,4,5,4,5,4,5,5,5,4,4,5,5,4,4,False,False,False,False
137,79,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,True,False,False,False
138,115,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,4,5,5,5,False,False,False,False
139,143,2,2,1,1,4,5,4,4,4,4,4,4,3,3,3,3,4,4,3,4,4,4,4,4,False,False,False,False
140,128,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,True,False,False,False
141,106,2,2,1,1,1,2,4,5,3,5,4,4,2,3,3,3,3,3,3,3,3,3,3,3,False,False,False,False
142,105,2,2,1,1,4,4,4,4,3,4,3,4,3,4,4,3,4,3,4,4,4,4,4,4,False,False,False,False
143,165,2,2,1,1,4,5,5,4,5,5,5,5,5,4,3,4,4,5,5,5,5,5,5,4,False,False,False,False
144,167,2,2,1,1,4,5,5,5,4,5,4,5,3,3,3,2,2,3,4,4,4,4,5,3,False,False,False,False
145,127,2,2,1,1,3,3,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,False,False,False,False
146,64,1,2,1,1,3,1,1,4,5,1,3,1,5,5,5,5,5,5,5,5,5,5,5,5,False,False,False,False
147,81,2,3,1,1,5,5,5,5,3,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4,False,False,False,False
148,183,2,2,1,1,3,3,4,4,2,3,4,4,1,3,2,2,3,3,3,3,2,2,3,3,False,False,False,False
149,243,2,1,1,1,4,4,5,4,4,3,4,3,4,4,4,3,3,2,2,3,2,3,3,3,False,False,False,False
150,268,1,2,1,1,4,3,3,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,False,False,False,False
151,134,2,2,1,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,False,False,False,False
152,198,2,2,1,1,4,4,4,4,3,3,5,5,3,3,2,2,4,2,2,3,3,2,2,2,False,False,False,False
153,245,2,2,1,1,5,5,5,5,5,5,5,5,3,2,2,2,2,4,3,4,4,4,4,2,False,False,False,False
